id,DAESU,DAE,DAE_NM,NAME,NAME_HAN,JA,HO,BIRTH,BON,POSI,HAK,HOBBY,BOOK,SANG,DEAD,PARTY,vector,URL
0,21,"제19대국회의원(경남 창원시성산구) 정당_66
제21대국회의원(경남 창원시성산구) 정당_74",21대의원,강기윤,姜起潤,,,1960년 06월 04일,,,"창원상남초등학교 
창원남중학교
마산공업고등학교  
창원대학교 행정학과 학사 
중앙대학교 행정대학원 지방의회 석사 
창원대학교 대학원 행정학과 박사 

창원시생활체육협의회 이사
창원시테니스협회 부회장
창원시 지체장애인 후원회 회원
한국청년지도자연합회 창원시지회 운영자문위원
경상남도사격연맹 이사
경남21환경교육연합회 자문위원회 위원
경상남도 도시계획위원회 위원
경상남도 청소년종합지원본부 이사
한국청년지도자연합회 경상남도지부 회장
한국청년지도자연합회 중앙회 부회장
희망코리아 경상남도 중부권 회장
6.3 동지회 경상남도지부 부지부장
영남지역발전연구원 수석연구위원
일진금속 대표이사
제7대 경상남도의회 의원
경상남도의회 기획행정위원회 위원장
경상남도의회 한나라당 원내대표
제8대 경상남도의회 의원
경상남도의회 건설소방위원회 위원
한나라당 창원을 지구당 부위원장
한나라당 경남도당 공천심사위원회 위원
한나라당 원외당원협의회 초대감사
한나라당 중앙교육원 부위원장
한나라당 창원을 당원협의회 위원장
새누리당 창원을 당원협의회 위원장",,,,    년   월   일,국민의힘,"[7.184644610308018, -19.36412024844237, -41.15477284059485, 19.154124490453, 0.8588919674212507, -23.063049463562944, 32.2472675101391, 18.171230839001193, 62.53683110886095, -6.084107204344263, 31.099388558092947, 35.67543872659137, -26.093690602116563, 26.826282917216606, 9.515773386876118, 7.825397001757167, -17.8586071272114, 45.74839929179037, 44.81382195979233, 15.627481497174971, 12.352222149550173, -0.6884779672899681, 17.728114431824427, -8.251135433857867, 29.420335449618424, 72.29275207821264, 26.691537912455832, 5.071764034848985, -82.72496007546721, 6.013928179918977, -21.2537393198963, 20.73535645230677, 8.192831529683097, 0.912504069043393, -16.184703173973748, -17.199965693025668, -4.558763572783886, 18.211940439935788, -25.44492967890506, -41.33226043653686, 21.615519503834832, 35.442301105661514, -12.943522492879653, -17.175524559258424, -8.354090013568332, 29.91004891712141, 17.304185510176346, 1.270828170895082, 27.30752073185078, -3.865457459604097, 31.958304412632067, -27.16924915570936, 72.75827887740867, 13.86216459185256, -20.55593674014713, -38.669860632711426, 32.33436756880946, -23.309824621529007, -3.3664276698812903, -14.323213304721468, -15.690193104051456, 1.9189812996080802, 53.53621370119673, -39.56690115973168, -1.8454077624681084, 5.327211461126557, 34.25942536360001, -15.052890706359104, -24.68497239232558, -12.269913331848953, 0.009408275616119512, -10.148763130067294, 43.321481170496014, 2.2969719238301036, 41.28113763213652, -24.826293683150993, -15.239251809001464, -19.623212775748794, 23.89427506626889, 10.34393377670114, 2.1685730194155113, 43.990698881663725, 15.743829386857536, -27.801492406866856, -11.824357654296511, -20.08657876263021, 36.145888516517104, -30.038852611270684, -3.171115648449704, 13.472529098700686, -38.17976786783622, 5.142331505217493, 14.582497955852524, 12.711421151873482, -34.650868429187916, 13.49088917208905, -39.150029809395804, 8.601450972537283, -16.204496130903728, -10.808586410961706]",http://watch.peoplepower21.org/files/attach/images/461/897/001/750f447445c98ecd1286a66ec22f119f.png
1,21,제21대국회의원(대구동구을) 정당_74,21대의원,강대식,姜大植,,,1959년 11월 02일,,,"경북대학교 사범대학 부속고등학교
영남대학교 경영대학원 경영학 석사, 박사

2010  제5,6대 대구광역시 동구의회 의원
        제5대 대구광역시 동구의회 운영행정위원회 위원장
        동구교육발전장학회 이사
        대구광역시 동구의회 제2과학고유치 특별위원회 위원장
        대구광역시 동구 생활체육협의회 부회장
2012. 제6대 대구광역시 동구의회 의장
2014. 민선6기 대국광역시 동구 구청장
2020. 대구광역시 동구생활체육회 회장
        대구광역시 동구문화재단 이사장
        동구교육발전장학회 이사장",,,,    년   월   일,국민의힘,"[12.809573072653551, -33.246669438557745, -53.12732106569486, 15.684204408144339, -1.1349535654752683, -32.11485306910979, 32.1992690040515, 34.83051938670568, 66.50813593409764, -0.2034575879573822, 14.474364682038624, 36.44607622623444, -6.465366592162694, 30.407956678745073, 19.25080080827077, 7.155815156453695, 7.519049419500889, 36.28207775323819, 44.57070957024892, 17.496785498888066, 13.638481947130117, 5.761145489032452, 34.62050063915742, -7.9486733112579735, 28.1150801609724, 66.1787287070201, 39.12977534379714, -1.5402066842103617, -98.74405272587752, 12.846035619576773, -29.47836424738933, 30.110585040312547, -0.20115985442430545, 5.502901265560053, -24.608283569721074, -5.998871000913473, -5.517566808064779, 31.036050451871677, -30.436174200742673, -39.78960445538545, 9.141753306449989, 27.855180501937866, -27.861233432782, -10.773853215193137, -24.409540404417577, 23.750034126868616, 32.402844936419754, -9.535177063941955, 28.00389739916875, -10.1305571941229, 35.11425087329669, -22.066047540077797, 81.88718332143931, 23.38506916730832, -31.937874139577914, -38.83093067453458, 39.496052658863555, -12.803392457962037, 0.33921888180268117, 14.094438097415827, -27.15247855920058, 0.5369978472208365, 50.31606972186993, -42.93237401522123, -14.318683298428853, 3.4401396265396706, 19.17116265786, -23.66702768007914, -22.30169268540847, -3.099365910773094, -18.608390177824557, -20.612492846831298, 68.65546648196685, 16.457724873224894, 23.87295868029961, -30.55018586378831, -12.91719513428517, -17.8454504713034, 24.706371427804996, 4.115523789479182, 0.7290298297810249, 42.47651701707106, 24.186659870392237, -44.57673309216133, -10.071808892029983, -18.205566389018145, 43.91237904475285, -35.44275664029977, -19.7469198539471, 12.085024686960073, -52.26598802590981, -6.657837202610113, 12.98053863843282, 17.499827968768585, -44.244332098655214, 28.233728907658502, -64.663665385124, 15.51781508555779, -12.637291312217712, -19.24035482773414]",http://watch.peoplepower21.org/files/attach/images/461/928/001/11927b0e9842d513092ee494f0496f89.png
2,21,제21대국회의원(경기안양시만안구) 정당_7,21대의원,강득구,姜得求,,,1963년 05월 27일,,,"성균관대학교 한국철학과 학사
연세대학교 행정대학원 정치행정리더십학 석사

1998. 제5, 8, 9대 경기도의회 의원
2010. 제8대 경기도의회 기획위원장(전반기)
2013. 제8대 경기도의회 후반기 민주통합당 대표의원
2013. 제8대 경기도의회 운영위원장
2014. 제8대 경기도의회 새정치민주연합 대표의원(후반기)
2014. 제9대 경기도의회 의장
2016. 경기도 연정부지사
2018. 민주연구원 자치발전연구센터 본부장
2019. 더불어민주당 포용국가비전위원회 위원",,"2015. 우산이 필요한 당신에게
2019. 득구있다",,    년   월   일,더불어민주당,"[0.4051876368642855, -43.21669763577085, -28.06468930164305, 21.851100480857017, 39.804277315861036, -38.98357517579023, 8.125399731287436, 45.1666039927166, 80.5918937145161, 6.767299813633206, 36.533334372925154, 10.404789742301492, -19.261747784975196, 43.492385565733706, 19.9123290957523, 4.3724082813543435, 17.03310956974991, 41.206807210665794, 52.136054246365525, -13.507530208395309, 39.16369882501474, 9.979355666817737, 14.225394573532233, -39.177434202001876, 13.990961074829102, 95.32379479368194, 31.13040227248889, -46.00373732542791, -170.338712608113, -6.644173107227357, -53.926553151687656, 33.93597091947283, -2.6158296468378115, -3.9975184582862533, -19.365500109536306, 8.565062799373594, -16.120434865230273, 34.33105688886482, -40.47161599167255, -84.50216376080232, 50.1532221742037, 36.65778776377189, -19.92792550856326, -20.470786831959956, -28.549608212559164, 34.59794896590609, 48.91724751576656, 0.8446981355923564, 44.100326167435206, -11.802335184161402, 50.1525138005489, -23.821704072110794, 96.74337527331184, 67.08335745334625, -6.947501104418971, -56.362851244060934, 45.13600996762764, -30.06302362830699, -30.81044119947097, -4.3331317691242, -52.966332163129536, 24.157724941478055, 46.53285399705422, -72.913989036524, -7.500055920176146, -10.946545354458465, 45.25504400149113, -43.23605074201311, -17.596417359945153, -31.942025589341878, 3.2976609648776654, -34.588804713818206, 85.55559003653647, 26.82727119902603, 59.40556284559875, -27.796591620485323, -28.270413420781367, -16.056262887826488, 3.773505527432225, -17.272938773411664, 5.086235216685703, 68.73839710940834, 50.66447655894175, -36.03721745675352, -6.184100640922034, -32.11458048399757, 96.49168749917455, -31.631486259713895, -7.256429095228179, -11.344794734185482, -56.358105895899925, 2.981575032242206, 28.629760379550838, -6.680258179412169, -59.803067679665666, 38.840698192099566, -68.27854267689361, 32.84460579948265, -13.605180886613221, 6.509639848931497]",http://watch.peoplepower21.org/files/attach/images/461/836/001/9bd84eecc1b2b573a8178ba345d979f6.png
3,21,제21대국회의원(경남진주시을) 정당_74,21대의원,강민국,姜旻局,,,1971년 03월 03일,,,"경남대학교 대학원 법학과 졸업(법학박사)

2004. 진주국제대학교 경찰복지행정학부 조교수
2012. 새누리당 중앙청년위원회 상임전국위원
2012. 새누리당 중앙당 부대변인
2012. 제18대 대통령선거 새누리당 중앙선거대책위원회 부대변인
2013. 경상남도 정무보좌역
2014. 제10대 경상남도의회의원
2015. 경상남도의회 경상남도 교육청 소관 예산결산특별위원장
2016. 제10대 경상남도의회 운영위원회 부위원장(후반기)
2016. 경상남도의회 남부내륙철도 조기 건설을 위한 특별위원회 부위원장
2018. 제11대 경상남도의회 의원
2018. 제11대 경상남도의회 건설소방위원장",,,,    년   월   일,국민의힘,"[12.278476773367988, -9.120494884914821, -46.02173776891497, 19.635101033581627, 12.382039164172278, -26.709722680515714, 27.98362178272671, 17.53619372944037, 56.025314153565304, 5.240288499991099, 34.76905515591304, 27.108901047706603, -14.506529325909085, 24.130289162529838, 7.4383127649625145, 4.255795762274, -1.5782408707671696, 49.629575827386645, 43.630717796749536, 5.42626920276218, 11.905162694056829, 1.3955261442396376, 40.26118524339464, -12.411869059668646, 32.33929922514491, 78.30918860435486, 20.02951012717353, -2.006682084666358, -114.84391854074266, 11.217675315009224, -26.72766678598192, 13.170369262165494, 3.076062035560608, -12.387945387098524, -33.68821840021345, -18.34549899548292, -2.881626680162218, 20.302207229534783, -36.715936258104115, -42.40745051569409, 10.874039904938805, 38.10654560195075, -23.68008317152659, -12.073921934763591, -20.33475665383869, 18.146013213528526, 27.392409284909565, -1.8848584413528442, 29.066939372486537, -2.4111976186434427, 37.6338424232271, -26.253320716487035, 72.98955996301439, 23.957091739442614, -6.455397656228807, -32.17105598979526, 42.89697304566701, -14.188706540399128, -3.7645919879277545, 0.0018596225314670139, -34.516625282499525, 20.473098413149515, 43.478761185540094, -40.47997991773817, -7.127874615457323, 1.8337772422366672, 34.72701432440016, -26.47444501982795, -27.899261250098547, -21.76166327595711, -13.563433106740316, -19.804876414934792, 61.11524618466695, 22.70242235793008, 31.12902476257748, -35.176089040438335, -3.8260035938686796, -23.820474235216775, 25.122307535012563, 3.176272236307462, -5.719487028651767, 49.43531815210978, 27.905437731742857, -33.38009721570545, -4.045849153730605, -19.88613649805387, 52.403201797273425, -31.53193713227908, -18.02022252612644, 7.628006014559004, -44.85835781627231, 8.472354246841537, 25.796552883254158, 1.2522489766279856, -44.025692345036404, 27.124472818109723, -63.17949056426684, 7.407734941111671, -17.632776701450346, -4.517928716871474]",http://watch.peoplepower21.org/files/attach/images/461/897/001/9ffbc68b6d044e07536753eaec69b8d5.png
4,21,제21대국회의원(비례대표) 정당_30,21대의원,강민정,姜旼姃,,,1961년 04월 26일,,,"서울대학교 사범대학 역사교육과 졸업

2005. 전국교직원노동조합 서울북부지회 지회장
2011. 북서울중학교 혁신부장
2015. 서울특별시교육청 혁신교육지구 정책연구교사
2016. 징검다리교육공동체 상임이사
2017. 교육부 교육자치정책협의회 위원
2018. 교육부 민주시민교육자문위원회 위원
2019. 서울특별시교육청 혁신학교운영위원회위원장

",,"2013. 교사와 학부모가 함께 읽는 주제통합수업
2017. 혁신학교, 한국교육의 미래를 열다
2018. 더 나은 세상을 위한 학교혁명
2018. 혁신교육지구란 무엇인가",,    년   월   일,열린민주당,"[23.113193603219656, -31.812191405789605, -25.18253674630461, 37.53532266616821, 31.758395506595743, -12.712499013440363, 14.673598004209584, 12.928020107335058, 73.52556655365845, 0.6600477775623058, 21.865927756654806, 45.025904885653794, -37.20411211211106, 17.452852157477675, 22.685792109884066, 21.895215801740516, -15.383911135689965, 23.339839892551815, 31.435968139253813, -5.478811684970198, 13.045796967837317, 16.94685487295019, 23.748686486277087, -33.4045301289394, 9.319941913670506, 55.468502288029114, 21.833558664650752, -19.535763944428542, -129.76113150695275, 17.03784807797136, -39.93216624979315, 11.262563996479429, 3.51647181367052, -3.8020713592397755, -44.82159136595397, -9.387483485402733, 4.61308528513744, 26.705543171537332, -37.526360975462815, -51.27827588936378, 17.69957900088409, 33.56799309664759, -16.225794921661244, 23.21715977438565, -15.23646670621017, 25.349055265558178, 35.36025272237843, 0.8313061089351259, 26.824328633012442, 1.3888242976418856, 34.80920241947832, -25.56244347506556, 66.26512115412746, 58.88852815956905, -21.185729231505558, -55.00441396071993, 64.67118691000445, -24.33711141717845, -33.62227305214981, -8.042114144358141, -50.60170614801604, 19.901108586582644, 32.930457568579705, -42.85153326412727, -21.615048380555777, 10.775622552427752, 29.895877913771006, -24.4366083901504, -29.238651922858995, -6.5623113015088546, -15.721297823971716, -29.08271847593373, 41.338810322202484, 0.8290396312187458, 4.283335510615645, -58.39311482330849, -8.898152866034673, -5.4749542039016195, 3.1476028541038774, -11.478070046161783, 4.143646284038651, 50.156789128533724, 16.011339143226888, -28.99615633980981, -2.6695882410838685, -45.125762442319555, 56.30728370074568, -42.56547188193634, -9.179388851235652, -3.8334760978304105, -50.16131837614651, -7.551242788906755, 27.68451795331363, 16.786681856780216, -45.13265616975982, 11.07378571608971, -61.08028590514742, 27.446668766284812, -14.8820759962345, 10.856023245844348]",http://watch.peoplepower21.org/files/attach/images/461/088/002/6a3461773a8a4d186437d7da7070af4c.png
5,21,"제20대국회의원(서울 은평구을) 정당_7
제21대국회의원(서울 은평구을) 정당_7
",21대의원,강병원,姜炳遠,,,1971년 07월 09일,,,"서울대학교 농경제학과 졸업(경제학사)

1994. 서울대학교 총학생회장
2003. 제16대 대통령직 인수위원회 행정관
2003~2007. 노무현대통령 대통령비서실 청와대 행정관
2011. (주)글로원시앤티 대표이사
2016. 더불어민주당 국정감사 우수의원
2016.2017. 국회사무처 입법 및 정책개발 최우수 국회의원
",,,,    년   월   일,더불어민주당,"[20.553812229735218, -37.322395401123245, -49.68166603644689, 29.475414214225914, -2.733096711146526, -32.81623194462214, 11.746272578962849, 40.816020390798904, 70.75927666440988, 5.838899460740579, 31.775741947767063, 34.959223891934776, -12.398079423822908, 31.744477552481186, 21.771213547796265, 16.312857186947113, 15.70411210691827, 39.18747423601965, 56.63593676406094, -2.3550154959034715, 16.14440827167187, 1.998535172552125, 15.337089984844892, -17.318864500420727, 5.962880887282201, 80.36700535737552, 28.212540881246582, -28.29969669611026, -141.20946031961685, -6.537817002361656, -52.491179910735184, 33.08542463412652, -11.561461281572651, 5.780220524877564, -27.24959434887283, -6.482476298944054, -2.0247241008994927, 33.37502852094988, -33.481561845184395, -48.309421334001755, -5.062631014065865, 24.91078205062793, -23.45332891564084, -5.481732823909858, -24.78082953699124, 31.363740698904053, 47.402871479336014, -5.043039794661041, 48.869494001070656, -8.383369491141067, 31.206183738178677, -1.287339643535451, 89.40015521925739, 50.40074231380071, -32.92358307680513, -74.99482922128632, 55.959088996689545, -36.55252232179682, -20.44831603103214, 18.568985470339783, -59.351604966016914, 19.127317341219666, 53.0551433471533, -35.181583326851204, -27.621240619920258, -2.6162503697933297, 23.80635934151136, -13.880484581630455, -32.55070864466521, -15.773216907221537, -18.896616246965195, -28.454631652587498, 78.46561669692015, 17.30633165413498, 8.67214454544915, -37.672468308709625, -14.615062921475142, -0.42826866848855955, 6.882077035231468, -3.775294587143466, -6.7953231775034695, 30.752698427591568, 39.82305030129913, -52.67074162277401, -5.454892410936519, -41.31769341466009, 76.84472999613509, -58.82248002042373, -14.960918495415623, 1.8847002758939042, -56.90033021747556, -17.419757740110413, 24.912612430050842, 10.142640551950178, -56.20099677795019, 50.846575037027016, -87.83642984302635, 27.635730779069103, -0.15832058181110611, 13.24482805097205]",http://watch.peoplepower21.org/files/attach/images/461/038/002/8ecfc73764713b2e4939298f178f9e7f.png
6,21,제21대국회의원(서울 강서구갑) 정당_7,21대의원,강선우,姜仙祐,,,1978년 06월 02일,,,"이화여자대학교 영어교육학과 학사
이화여자대학교 대학원 소비자인간발달학과 석사
위스콘신주립대학교 대학원 인간발달 및 가족학과 박사

2012. 미국 사우스타코타주립대학교 교수
2020. 더불어민주당 총선기획단 위원
        국가균형발전위원회 국민소통특별위원
        민주평화통일자문회의 상임위원
        국가교육회의 전문위원
        제19대 대통령선거 더불어민주당 문재인 후보 선거대책위원회 정책 부대변인
        성균관대학교 겸임교수
        더불어민주당 상근부대변인",,2018. 지역소멸 예방을 위한 사례조사,,    년   월   일,더불어민주당,"[19.135304516120662, -36.44039850993862, -42.957810721899335, 17.893382797638576, 18.625241052536737, -32.278439387342985, 23.10722044222337, 29.129165708309127, 70.89140496546761, 16.563718163728115, 33.10711326709666, 18.896107407142047, -35.853675813901994, 38.17726224959644, 13.124781367772803, 6.033924761421997, -8.178740040102698, 40.41055683653456, 27.688277075165196, -13.547327876389774, 14.130258225744829, 27.70529986951584, 25.704319708926935, -31.186937096124904, 28.24480380211259, 83.51483337756684, 35.74923071526644, -25.538053492854413, -147.2014621684426, 13.216367245317999, -21.395753787424333, 31.658720441629416, -8.868645890165391, 0.2385300155869104, -20.860880817835195, 1.3130915657544793, -6.612870159491262, 29.41729945805213, -39.372073047441944, -46.341221828807264, 20.11558246791811, 18.71061242672435, -16.741478392952367, -0.5110318905727607, -10.746306523195186, 13.798916451614303, 37.76993440879616, -7.36116307600399, 38.21212783254179, -0.36489060842303706, 34.19240776160008, -22.89279245374197, 73.65940161336933, 50.52852593986014, -10.301431516358129, -56.36189835651178, 49.02007203831111, -22.5954025547606, -12.267049947627505, 4.27641254857668, -44.25159173979795, 15.430602941447333, 53.94275032607535, -36.52588284613196, -8.591939910910183, -3.810891328001381, 44.52082494356877, -14.617590569613272, -28.479542750164978, -17.008294838076846, -9.053672434990865, -22.959075366644036, 62.22208138038042, 24.43673246038289, 31.923752950845206, -25.998993193595332, -28.808570766209957, -13.376101508176417, 20.77803713038452, -5.59135420504668, -8.9201305607021, 35.20202036071242, 19.014836001216917, -32.46783907670425, -17.82968577047936, -36.49891109054997, 57.32016550127725, -41.08902209280129, -10.67936798631398, -1.8748667601654703, -52.19797695848278, -2.973178114209856, 29.990465316258575, 7.794915557057039, -56.447792191852, 23.480837167056283, -66.16028502695542, 20.59744377632189, -11.85779459374889, 5.62484108109522]",http://watch.peoplepower21.org/files/attach/images/461/038/002/e758a428fa65796038c0a6f0f22f47df.png
7,21,제21대국회의원(비례대표) 정당_72,21대의원,강은미,姜恩美,,,1970년 09월 06일,,,"광주중앙여자고등학교
전남대학교 해양학과 학사

2006~ 제5,6대 광주광역시 서구의회 의원
         함께할 새누리지역 아동센터 운영위원회 위원장
2013~ 틔움키움 광주전남 네트워크 이사
         제6대 광주광역시의회 4대강 사업대책특별위원회 간사
         제6대 광주광역시의회 예산결산특별위원회, 환경복지위원회(간사)
201~. 정의당 부대표, 원내대변인, 원내수석부대표",,,,    년   월   일,정의당,"[49.986610394019586, -18.415711771358144, -42.67661568096706, 7.032087284249145, 58.662799158653655, -62.542948106666664, -3.8878959061263445, 51.59037284727221, 82.48558819139159, 11.370520984971678, 13.46202152735227, 60.84262939552208, -17.227232019622605, 21.811650530084385, 27.305499090776816, 27.58179185916851, 28.70765175834879, 30.15204802426425, 53.53466098649161, 7.523064984903707, 36.83365573511495, 24.264899696622575, 59.83115995085085, -56.692207989754614, 5.016759237685761, 96.83184407748185, 30.008696048290698, -30.87619702846973, -179.9926639655968, 17.149665392838514, -48.940826688494, 38.187907062567675, -8.49889033336144, -30.701638950930015, -56.74099632052632, -11.648713375840869, 30.667130717983493, 31.61115961647653, -61.75873708105706, -49.28787553774846, -27.891018978961103, 49.59267924977588, -11.994132404203539, 33.21704807529202, -5.07140867741077, 21.158338710859223, 58.227796056053855, -0.6936885722271808, 30.6576777216676, -14.829809865394196, 53.29652835951223, -44.335656494289246, 97.54807287067563, 71.28673018263532, -17.517464678008835, -89.81394216302154, 71.00291211264474, -18.43064507725951, -38.509121040245155, -0.5601325948517044, -95.757772349692, 19.174380305525546, 54.2444217297938, -53.535635462054955, -28.43320821709447, -14.839164368517988, 17.408505291133732, -29.80764314416167, 7.669264452798026, -2.4754172215214023, -22.31338385482887, -45.64024344357577, 59.35650622380244, 11.933471103767296, 23.278457703528467, -48.278078552964445, 1.7676759308034724, -3.0667059266722045, 23.324286886623927, -11.207348681115485, -5.678996372532535, 32.16087483740472, 46.33645805910036, -48.7156049059583, -30.455108110006755, -28.01438471558806, 82.41979317850881, -72.07797611766047, -31.85267342530288, -26.64293999331338, -62.15087905797091, -5.650206861170855, 61.963047933268854, 36.06303166414236, -45.35441639516261, 42.20276579918799, -95.52541453342933, 28.662894883713165, -19.36452374675057, 10.470982359601306]",http://watch.peoplepower21.org/files/attach/images/461/088/002/2083fab26a58d8a915fd068c5b3bda70.png
8,21,제21대국회의원(세종특별자치시을) 정당_7,21대의원,강준현,康準鉉,,,1964년 08월 19일,,,"남대전고등학교
충남대학교 건축공학과 졸업
충남대학교 대학원 건축계획 석사

2004. 대전경제정의실천시민연합 후원이사
2008. 건양대학교 외래교수
2011. 민주평화통일자문회의 자문위원
2013. 충남대학교 총동창회 운영부회장
2015. 세종특별자치시 인재육성재단 상임이사
2015. 제3대 세종특별자치시 정무부시장
2018. 행정안전부 정책자문위원회 지방자치분권분과위원회
2018. 충남대학교 건축공학과 특임교수",,,,    년   월   일,더불어민주당,"[23.556743173038257, -32.809329358093876, -60.98733993137584, 25.52462822812445, -0.8662177674910602, -34.92075629444683, 19.934568342040567, 58.53922865320654, 82.29399894665488, 10.885571175638367, 55.50463318912422, 9.466294819817824, -19.42793533907217, 41.19015355890288, 41.98943751699784, 5.028592289370649, 2.255064308643341, 95.3478015196674, 94.19717020146987, -6.3910415488130905, -4.071983624907101, -21.569047126699896, 8.955587099580203, -7.524212235037019, 18.7624775872511, 115.71072614894194, 49.42568418383598, -17.418965776177014, -161.00326478481293, -24.56349617418121, -55.58631329413723, 74.75890898529221, -2.4234108924865723, 14.918885721003308, -14.249093058792983, -27.259298327652846, -11.220845342120704, 41.560472150935844, -65.63691105562098, -77.86756268757232, 4.492657638647977, 25.237714765702975, -34.31785360153984, -25.8961266445763, -25.166745226391974, 33.47756426825243, 59.413111496497606, -25.25168702707571, 50.765343989519515, -7.5040176813216775, 60.059756221140134, -28.01272039203083, 108.89069335250294, 40.52521461949629, -34.93970438180601, -80.15135764374452, 48.37047976956648, -41.18871870593113, -22.831370430834152, 23.935415171525058, -35.634784526684705, 24.789382718941745, 65.23577059367123, -43.30276545180994, -30.43724064441288, 4.149352091200211, 55.02322169349474, -38.12228038381128, -24.24715567248709, -32.86957748672541, -13.91207669061773, -41.90210561454296, 103.17002586056205, 19.175838230287326, 72.2455842933234, -44.03072045129888, -36.811154527699244, -13.621664467103342, 15.394924749346341, -5.587249860167503, -31.754035236204373, 42.408144417931055, 59.79965244847185, -49.862439566675356, -5.253048736163798, -38.15432432074757, 59.5034014696584, -40.59143151649658, 12.348363455604105, 17.34075082312612, -63.466800938634314, 11.193525447564966, 6.49609814759563, -17.132221313083875, -76.41179677887874, 34.57562695180668, -89.65285191860269, 45.55483502850813, 3.046893389785991, 10.335901761756224]",http://watch.peoplepower21.org/files/attach/images/461/009/002/cd959c66b13467f7f411500329fbf3ae.png
9,21,"제20대국회의원(충청남도 아산시을) 정당_7
제21대국회의원(충남 아산시을) 정당_7
",21대의원,강훈식,姜勳植,,,1973년 10월 24일,,,"건국대학교 경영학 학사

제20대 국회 예산결산위원회 위원
제20대 국회 국토교통위원회 위원
제20대 국회 아동.여성.인권정책포럼 연구책임위원
제20대 더불어민주당 전략기획위원장
동국대언론정보대학원 신문방송학 겸임교수
뉴욕주립대학 한국학연구소 객원연구원
건국대학교 총학생회장",,,,    년   월   일,더불어민주당,"[17.344234101025457, -25.9304674957172, -45.3957043092653, 19.012069518307605, 7.293558481227921, -24.344939385552003, 23.5462555874543, 47.3872147587588, 70.1264789090099, 9.47590221195336, 42.36121689411531, 9.433923093669385, -47.99850610078099, 41.953797740749565, 12.280095235410943, 13.088140823216323, -21.03408376926399, 67.82901736411704, 66.35147352103728, -10.584977725902236, 8.255028314304997, -2.2308340094175683, 12.37265269727592, -22.490981221199036, 37.33288393824934, 95.6122314991003, 42.56189896686968, -13.833720704159104, -140.5518576122192, -16.090215681547143, -33.14935498765434, 48.432832523282755, -3.9874458669359427, 3.1285559470395006, -16.21171563127673, -13.156382652291333, -26.4979108744357, 29.316130711057458, -53.81396924013115, -75.02987883679837, 33.43816254009683, 24.568200117134186, -26.88771939026304, -11.398522885448962, -12.60584061601794, 31.07876181171601, 45.88949394513325, -2.4604771194687807, 47.49393902988319, 0.5306610350149223, 34.16224370376173, -29.440906995750336, 75.53939631186336, 36.21994049685547, -25.570279149046865, -57.12581080144428, 46.44911092052977, -36.89858889364334, -21.333842080759716, 8.175633425454059, -25.6760463800775, 21.292103589478746, 56.32451242028949, -40.671342497848606, -6.923651871911014, -1.0576467912599266, 43.567745167806926, -35.15129329210304, -37.47244468834027, -29.29077018164547, -7.983512404453323, -5.273909966629672, 71.87634632817235, 7.469299658235297, 75.33570236111262, -36.60243548398994, -32.53563605590039, -16.6232477886131, 14.49034112763692, -11.017867354743451, -10.386588331244617, 70.88080005473401, 31.71450921641775, -35.48422075395124, -4.497255409338388, -26.317435596587067, 30.75650011056877, -39.14503515664354, 6.338948106819607, 19.112404388835632, -56.83148372891438, 7.456673431288765, 6.533788920166981, -14.92965129556426, -76.59505553058831, 8.871811746114707, -62.32592320298574, 32.60296955381531, -30.56234520673752, -7.285544007657522]",http://watch.peoplepower21.org/files/attach/images/461/009/002/fa16e517d92a6442e28767a7b3e1ea82.png
